Channel,Watch time,Stream time,Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language,Month
CriticalRole,72996870,1965,65234,37148,502478,19205,827555,True,False,English,2-2020
CriticalRole,68674335,2520,62979,27251,502478,18242,805605,True,False,English,11-2019
CriticalRole,65490300,2070,63072,31637,502478,23058,1482365,True,False,English,5-2019
CriticalRole,63428445,1935,56157,32779,502478,23312,866217,True,False,English,8-2019
CzechCloud,125265450,30135,8212,4156,160286,62102,2806023,True,False,Czech,4-2020
DansGaming,142085280,25725,12427,5522,812543,5750,1414760,True,False,English,10-2019
DansGaming,68395305,18450,8042,3706,812543,2049,1196884,True,False,English,7-2019
DansGaming,67639650,18360,8426,3683,812550,3781,858671,True,False,English,11-2019
Datto,69277980,9105,82047,7608,510524,35580,1234483,True,True,English,10-2019
Deadlyslob,78010035,10260,85738,7602,280418,27168,1191088,True,False,English,1-2020
Destiny,71602515,15000,22991,4772,541332,3017,961416,True,True,English,10-2019
Diegosaurs,93415335,22455,12334,4159,521516,54447,1863869,True,True,English,10-2019
Diegosaurs,69957585,16785,11326,4167,521516,30099,1253347,True,True,English,11-2019
Diegosaurs,66615885,15795,13455,4217,521516,25082,948691,True,True,English,3-2020
DisguisedToast,211429830,13110,34799,16127,1318483,82365,3953290,False,False,English,7-2019
DisguisedToast,185354430,9645,38169,19217,1318483,116696,2892139,False,False,English,10-2019
DisguisedToast,124747860,10680,26743,11680,1318483,33157,2399969,False,False,English,4-2019
DisguisedToast,91873905,8580,24570,10707,1318483,29428,2419590,False,False,English,8-2019
Distortion2,62025300,18855,6785,3289,298914,27746,1143768,True,True,English,4-2019
Domingo,72837660,6375,56299,11425,793910,23682,2495798,True,False,French,3-2020
Domingo,59999955,5235,102022,11460,793910,55320,2933906,True,False,French,9-2019
Dota2RuHub,626955180,14250,168258,43996,727959,63510,16732427,True,False,Russian,5-2019
Dota2RuHub,265230600,9450,105359,28066,727959,31562,6727517,True,False,Russian,10-2019
Dota2RuHub,256660905,9015,97998,28469,727959,27192,6800514,True,False,Russian,11-2019
Dota2RuHub,113860965,11790,48055,9657,727959,13078,3421682,True,False,Russian,7-2019
Dota2RuHub,81809235,5460,68460,14982,727959,10371,2451768,True,False,Russian,4-2019
Doublelift,94382655,4785,39673,19724,1386593,60776,2114847,True,False,English,9-2019
DrDisrespect,274248495,9705,63206,28258,4377168,123213,5982598,True,False,English,4-2020
DrDisrespect,263659740,8070,65990,32671,4377168,125784,6141374,True,False,English,3-2020
DrDisrespect,184636590,7080,97540,26078,4377168,87212,5039213,True,False,English,10-2019
DrDisrespect,180780540,7290,66836,24797,4377168,81692,4177814,True,False,English,1-2020
DrDisrespect,139570035,6150,50249,22693,4377168,87189,4298010,True,False,English,8-2019
